enjoyment-writing_code,enjoyment-writing_documentation,enjoyment-reviewing_code,enjoyment-reviewing_documentation,enjoyment-fixing_bugs,enjoyment-responding_to_issues,enjoyment-managing_communities,enjoyment-infrastructure,credit-writing_code,credit-writing_documentation,credit-reviewing_code,credit-reviewing_documentation,credit-fixing_bugs,credit-responding_to_issues,credit-managing_communities,credit-infrastructure,docs-should,docs-usual,docs-diff
5.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,20.0,20.0,0.0
4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,50.0,30.0,-20.0
5.0,2.0,2.0,3.0,4.0,2.0,1.0,4.0,5.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,60.0,20.0,-40.0
5.0,3.0,2.0,2.0,3.0,3.0,,3.0,3.0,2.0,4.0,4.0,1.0,4.0,,2.0,40.0,10.0,-30.0
5.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,30.0,10.0,-20.0
5.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,70.0,30.0,-40.0
5.0,3.0,4.0,2.0,4.0,4.0,,3.0,4.0,2.0,1.0,,3.0,3.0,,1.0,30.0,70.0,40.0
5.0,3.0,4.0,3.0,5.0,4.0,4.0,2.0,5.0,2.0,2.0,1.0,5.0,1.0,4.0,2.0,30.0,10.0,-20.0
5.0,4.0,4.0,4.0,1.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,30.0,20.0,-10.0
5.0,4.0,2.0,1.0,1.0,4.0,4.0,3.0,5.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,30.0,10.0,-20.0
5.0,3.0,2.0,3.0,4.0,3.0,,,4.0,4.0,3.0,3.0,5.0,3.0,,,20.0,0.0,-20.0
5.0,1.0,4.0,1.0,4.0,2.0,1.0,3.0,5.0,4.0,2.0,2.0,4.0,3.0,1.0,2.0,30.0,10.0,-20.0
5.0,3.0,3.0,1.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,30.0,10.0,-20.0
5.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,30.0,10.0,-20.0
5.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,50.0,10.0,-40.0
5.0,3.0,4.0,3.0,4.0,2.0,,1.0,5.0,,,,,,,,30.0,30.0,0.0
5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,30.0,10.0,-20.0
5.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0,30.0,10.0,-20.0
5.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,40.0,30.0,-10.0
5.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,30.0,-20.0
5.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,50.0,50.0,0.0
5.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,,,,,,,,,30.0,20.0,-10.0
